iter	Passed	Remaining
1435	14338	85514
1436	14348	85502
1437	14357	85483
1438	14366	85470
1439	14374	85450
1440	14382	85429
1441	14394	85430
1442	14403	85413
1443	14412	85396
1444	14421	85383
1445	14430	85368
1446	14440	85354
1447	14449	85341
1448	14459	85331
1449	14478	85375
1450	14488	85360
1451	14498	85355
1452	14508	85341
1453	14517	85325
1454	14525	85307
1455	14540	85324
1456	14550	85312
1457	14558	85291
1458	14566	85274
1459	14575	85254
1460	14584	85242
1461	14597	85246
1462	14606	85234
1463	14616	85221
1464	14625	85206
1465	14635	85194
1466	14643	85174
1467	14652	85160
1468	14661	85143
1469	14670	85126
1470	14679	85112
1471	14689	85101
1472	14698	85089
1473	14712	85102
1474	14724	85103
1475	14735	85099
1476	14745	85088
1477	14755	85078
1478	14764	85063
1479	14775	85061
1480	14784	85042
1481	14793	85029
1482	14804	85023
1483	14813	85006
1484	14822	84990
1485	14831	84975
1486	14843	84980
1487	14854	84971
1488	14863	84958
1489	14871	84937
1490	14880	84919
1491	14889	84908
1492	14900	84903
1493	14912	84900
1494	14920	84883
1495	14928	84863
1496	14937	84845
1497	14945	84824
1498	14955	84815
1499	14964	84798
1500	14973	84784
1501	14984	84777
1502	14992	84759
1503	15001	84741
1504	15011	84731
1505	15020	84714
1506	15029	84702
1507	15039	84691
1508	15049	84679
1509	15071	84737
1510	15080	84722
1511	15089	84707
1512	15098	84690
1513	15107	84679
1514	15117	84665
1515	15125	84645
1516	15133	84627
1517	15143	84615
1518	15157	84628
1519	15166	84611
1520	15175	84600
1521	15186	84593
1522	15196	84584
1523	15205	84568
1524	15214	84554
1525	15223	84539
1526	15232	84523
1527	15241	84509
1528	15249	84487
1529	15258	84471
1530	15270	84470
1531	15278	84452
1532	15287	84433
1533	15296	84417
1534	15306	84408
1535	15314	84390
1536	15326	84391
1537	15338	84390
1538	15349	84387
1539	15357	84369
1540	15366	84353
1541	15376	84343
1542	15386	84331
1543	15395	84318
1544	15405	84307
1545	15414	84288
1546	15422	84272
1547	15432	84260
1548	15443	84256
1549	15460	84286
1550	15468	84265
1551	15478	84253
1552	15486	84235
1553	15496	84222
1554	15505	84209
1555	15514	84195
1556	15524	84182
1557	15533	84165
1558	15542	84153
1559	15551	84137
1560	15562	84134
1561	15572	84121
1562	15584	84123
1563	15595	84118
1564	15605	84108
1565	15614	84094
1566	15624	84085
1567	15633	84071
1568	15643	84062
1569	15652	84046
1570	15662	84036
1571	15671	84020
1572	15682	84015
1573	15692	84004
1574	15701	83991
1575	15710	83974
1576	15719	83961
1577	15728	83946
1578	15738	83935
1579	15746	83915
1580	15758	83918
1581	15767	83902
1582	15778	83897
1583	15788	83888
1584	15798	83878
1585	15808	83868
1586	15818	83857
1587	15827	83842
1588	15835	83823
1589	15843	83803
1590	15852	83788
1591	15862	83773
1592	15871	83759
1593	15882	83757
1594	15890	83738
1595	15901	83733
1596	15910	83718
1597	15920	83707
1598	15929	83693
1599	15938	83679
1600	15949	83674
1601	15962	83679
1602	15972	83668
1603	15981	83655
1604	15991	83642
1605	16000	83628
1606	16017	83656
1607	16027	83645
1608	16035	83627
1609	16047	83625
1610	16057	83617
1611	16066	83603
1612	16076	83589
1613	16088	83594
1614	16097	83575
1615	16106	83560
1616	16114	83543
1617	16123	83528
1618	16132	83513
1619	16141	83497
1620	16150	83481
1621	16159	83469
1622	16168	83455
1623	16177	83437
1624	16185	83418
1625	16196	83413
1626	16205	83398
